time1,avg,tasks,running,3.5,[33] proc1wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww,[44] proc2mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,[55] proc3aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
time2,avg,tasks,running,3.5,[33] proc1,[44] proc2,[55] proc3
time3,avg,tasks,running,3.5,[33] proc1,[44] proc2,[55] proc3
time4,avg,tasks,running,3.5,[33] proc1,[44] proc2,[55] proc3
time5,avg,tasks,running,3.5,[33] proc1,[44] proc2,[55] proc3
time6,avg,tasks,running,3.5,[33] proc1,[44] proc2,[55] proc3
time7,avg,tasks,running,3.5,[33] proc1,[44] proc2,[55] proc3
time8,avg,tasks,running,3.5,[33] proc1,[44] proc2,[55] proc3
time9,avg,tasks,running,3.5,[33] proc1,[44] proc2,[55] proc3
time10,avg,tasks,running,3.5,[33] proc1,[44] proc2,[55] proc3
time11,avg,tasks,running,3.5,[33] proc1,[44] proc2,[55] proc3
time12,avg,tasks,running,3.5,[33] proc1,[44] proc2,[55] proc3
time13,avg,tasks,running,3.5,[33] proc1,[44] proc2,[55] proc3
