+-----+-----------------------------------------+-------+----------+
| id  | name                                    | class | count(*) |
+-----+-----------------------------------------+-------+----------+
|   3 | (alphabet + digit)                      | 3     |      744 |
|   4 | (MIME string)                           |       |        1 |
|   1 | (not classified)                        | 3     |      195 |
| 408 | @nifty Webmail                          |       |        2 |
|   8 | 104 OMS SYSTEM                          | 1     |      148 |
| 407 | 12all.hu                                |       |        1 |
|   9 | 15below                                 | 1     |       14 |
|  10 | 360SecMail1                             |       |        1 |
|  11 | AbvMail 1                               |       |        1 |
|  12 | AbvMail 3                               |       |        1 |
|  13 | ACEM                                    |       |       19 |
|  14 | adToOne                                 |       |        1 |
|  15 | AEM                                     |       |        2 |
|  16 | Aerobile Mailer                         |       |        1 |
|  17 | AfterLogic webmail client               | 0     |        5 |
|  18 | Alimail-Mailagent                       | 0     |        4 |
|  19 | AllinMail                               | 1     |      143 |
|  20 | Amego Mailer                            |       |        1 |
|  21 | Android                                 |       |        1 |
|  22 | AntiSpam                                |       |        1 |
|  23 | AOL                                     | 0     |      866 |
| 395 | ApeosPort-IV C4475                      |       |       10 |
|  24 | Apple Mail                              | 0     |       35 |
|  25 | AQMS Tech                               |       |        1 |
|  26 | ArmorX Webmail                          | 0     |      622 |
|  27 | Artlogic                                |       |        1 |
|  28 | aspNetEmail ver 3.5                     |       |        7 |
|  29 | aspNetEmail ver 3.7.0.0                 |       |        1 |
|  30 | aspNetEmail ver 3.7.0.19                | 0     |      175 |
|  31 | AutoNewsV3                              |       |        1 |
| 406 | baicai.cn                               |       |        4 |
|  32 | Barca                                   | 0     |        4 |
|  33 | BeHDv32                                 | 1     |       12 |
|  34 | Blat                                    |       |        1 |
|  35 | BM23 Mail                               | 1     |       16 |
|  36 | BME Mailer                              | 1     |      382 |
| 405 | BMI#2072                                |       |        2 |
|  37 | BOX Solutions Web Mail                  | 0     |        4 |
|  38 | Brick Street Connect                    | 1     |       63 |
|  39 | By Redhat                               |       |       29 |
|  40 | CakePHP Email                           |       |        1 |
|  41 | Certain                                 |       |        5 |
|  42 | CheetahMailer                           | 1     |       34 |
|  43 | CHOLLIAN Mail                           |       |        2 |
|  44 | class SMTPMail                          |       |       42 |
|  45 | Cleancode.email                         |       |        2 |
|  46 | ClickM@iler                             | 1     |       12 |
|  47 | CodeIgniter                             | 1     |      144 |
|  48 | COHL Webmail                            | 0     |        7 |
| 404 | COMS/EA                                 |       |        1 |
|  49 | ContactLab                              | 1     |        3 |
|  50 | Coremail MTA server                     | 0     |       62 |
|  51 | Coremail Webmail Server                 | 0     |       89 |
|  52 | Coremail-Mailer                         | 0     |       11 |
|  53 | CosseMail                               |       |        3 |
|  54 | Create Send                             |       |        3 |
|  55 | crsystem                                |       |        1 |
|  56 | DACOM-MAILER                            |       |        2 |
|  57 | david by Tobit.Software                 |       |        1 |
|  58 | Default                                 |       |        7 |
|  59 | dimedis Mail Subsystem                  |       |        4 |
|  60 | DMD-MTA                                 |       |       26 |
|  61 | dmDroid                                 |       |        8 |
| 394 | dns.com.cn Webmail                      |       |        5 |
|  62 | DocuCentre                              |       |        2 |
|  63 | Doppler Mail                            | 1     |        3 |
|  64 | DreamMail 4                             | 0     |       14 |
|  65 | DreamMail5                              | 0     |        3 |
|  66 | Drupal                                  |       |        7 |
|  67 | EasyTRY Mailer                          |       |       82 |
|  68 | ec-Messenger                            |       |        8 |
|  69 | eCentry                                 | 1     |       34 |
|  70 | Edel                                    |       |        1 |
|  71 | edm.powerelay.com                       |       |        4 |
|  72 | EDMAIL                                  |       |        2 |
|  73 | eGroups Message Poster                  | 1     |      111 |
|  74 | eGroups-EW                              |       |      274 |
| 403 | EhooSend 2004c                          |       |        2 |
|  75 | Email Express                           |       |        6 |
|  76 | Email Marketer                          |       |        2 |
|  77 | Email Sender                            | 1     |       13 |
|  78 | Email Sending System                    | 1     |       48 |
|  79 | emailsend                               |       |        2 |
|  80 | eMsSMTP                                 |       |      104 |
|  81 | EPaper BOY                              | 1     |       24 |
|  82 | eSender                                 | 1     |       67 |
|  83 | eYou Webmail                            |       |        1 |
|  84 | eZ publish                              |       |        1 |
|  85 | EZMailer                                |       |        8 |
|  86 | FeedBlitz                               |       |        1 |
|  87 | FM-Mailer                               |       |        1 |
|  88 | Foxmail 3 - 5                           | 0     |      189 |
